City,Cement,Steel,Gravel,Sand,Lime,Fly ash,Copper,Aluminum,Total
nantong,1712277.260564115,148340.85178154462,5912442.521007277,2767616.4632385317,646342.2827624443,109772.230318343,5509.803066171657,5085.972061081529,11307387.384799512
zhengzhou,5333012.433685398,462018.4039083884,18414733.527205765,8619943.364347933,2013080.188457978,341893.6188922074,17160.68357374014,15840.630991144746,35217682.85106255
xian,5312628.491836281,460252.46835215297,18344348.381464384,8586996.05239874,2005385.7549629526,340586.82658059325,17095.091681651396,15780.084629216675,35083073.15190597
haerbin,8651564.733877443,749516.7467468082,29873596.048908494,13983841.017876167,3265751.5393968076,554642.3925926381,27839.193450595732,25697.71703131914,57132449.38988028
urumqi,4546247.267048234,393858.05531358474,15698056.77607002,7348266.003422024,1716095.812437762,291454.9609320527,14629.013483076003,13503.704753608617,30022111.593460362
beijing,12777806.444343176,1106988.1820594333,44121386.11351171,20653236.653851714,4823305.650401818,819171.2547239808,41116.70390506467,37953.880527752,84380964.88332465
changsha,2461466.8195173666,213245.88782947484,8499371.814917639,3978558.992932773,929142.7969712832,157801.95699381136,7920.561547951922,7311.287582724851,16254820.118293025
hohhot,3603476.0196458385,312182.32843466423,12442695.661895905,5824430.299081022,1360223.0024653226,231014.92304165152,11595.343627573242,10703.394117759915,23796320.97230973
ningbo,1571077.20365413,136108.17358389738,5424882.918558195,2539389.6385795716,593042.7563298385,100720.04845208407,5055.446447401902,4666.56595144791,10374942.751556568
shanghai,6945719.512746984,601733.126104318,23983363.169014957,11226620.895603416,2621837.1923116706,445282.5133171952,22350.08754101752,20630.850037862325,45867537.34667742
guiyang,4138480.0166599504,358531.6846116294,14290048.572377801,6689176.858611256,1562173.7686649566,265313.44661260577,13316.891142717663,12292.51490097015,27329333.753581885
changchun,6038448.4400435425,523132.90940971277,20850583.103615697,9760165.424129784,2279364.8195708916,387118.3529631875,19430.65092093219,17935.985465475867,39876179.68611922
foshan,1720366.8494183808,149041.68249911713,5940375.631036241,2780691.9620549567,649395.9023175818,110290.84504934667,5535.83392139578,5110.000542826874,11360808.706839846
lhasa,1851833.7745904631,160431.14383828267,6394327.0186972665,2993186.7693256736,699021.4124382318,118719.0464403292,5958.871056850499,5500.496360169693,12228978.532747269
nanning,4058311.0928165424,351586.35705093807,14013227.659601675,6559596.890121787,1531911.984293373,260173.9042176942,13058.921833320557,12054.38938460359,26799921.199319936
quanzhou,1543993.8042614558,133761.8394780964,5331364.7449127,2495613.747977056,582819.4434402772,98983.76121379135,4968.296894900724,4586.120210677592,10196091.758388955
hangzhou,2627135.152343191,227598.34240596954,9071419.647323642,4246334.788317088,991678.4919117244,168422.77338041743,8453.652717936011,7803.371739633241,17348846.220139604
dalian,7842262.626101366,679403.9403800688,27079099.90943417,12675736.373376712,2960260.0259417286,502758.9158812509,25235.003499831128,23293.8493844595,51788050.64399959
tianjin,10522566.006240718,911608.4411347157,36334107.86808367,17008008.916027695,3972008.2078012615,674590.2464396895,33859.74209928944,31255.14655319025,69488004.57438023
nanjing,5879660.708923973,509376.5465651957,20302293.784527086,9503510.997344937,2219426.3814626383,376938.6444582448,18919.700300992983,17464.338739378138,38827591.102322444
suzhou,2085363.5227159434,180662.68142341092,7200698.302447378,3370649.4562710673,787173.1119162905,133690.38425332407,6710.328167155262,6194.14907737409,13771141.936271943
fuzhou,2312075.824452504,200303.59865306347,7983529.146314958,3737092.854870013,872751.394131205,148224.66300326696,7439.847949970928,6867.551953819319,15268284.881328803
xining,1736837.143641225,150468.56442436355,5997247.067771062,2807313.5019745543,655613.0307061555,111346.73767402902,5588.832392904933,5158.922208835322,11469573.80079313
chongqing,12465292.580812793,1079913.9612090292,43042285.02533131,20148109.047699887,4705339.40241077,799136.3312946815,40111.089987763946,37025.62152716672,82317213.0602734
wenzhou,1280074.6975858016,110897.56043441349,4420059.908743053,2069031.627533486,483196.51332137315,82064.19472146599,4119.052244706787,3802.2020720370338,8453245.756656336
shenyang,5920718.001214751,512933.4902042482,20444063.395283606,9569873.402953545,2234924.493032796,379570.7827511437,19051.815350443503,17586.291092717085,39098721.671883255
luoyang,2739015.2958000605,237290.9290915894,9457738.459507637,4427170.762765939,1033910.476756211,175595.28752777615,8813.66308054475,8135.688997425924,18087670.56352718
chengdu,4539751.2128413245,393295.2783402138,15675626.093845665,7337766.193033133,1713643.7127680746,291038.5059717582,14608.110338350798,13484.409543093043,29979213.51668161
haikou,637588.9414587689,55236.6657204379,2201575.6765717394,1030558.3632984557,240674.04349619374,40875.13263312404,2051.6475839019795,1893.8285389864425,4210454.2993016075
wuxi,1969346.1606008392,170611.67232928064,6800093.797124186,3183126.343743436,743379.4294347228,126252.63752366768,6337.004972230423,5849.543051289622,13004996.58877965
qingdao,2702666.0418626303,234141.8600623566,9332225.565342497,4368418.132020538,1020189.5331288395,173264.97644614388,8696.697659458958,8027.720916423654,17847630.52743889
yinchuan,2244257.0261438657,194428.2077104834,7749352.850174981,3627474.846712733,847151.4764528205,143876.87370575772,7221.619143532242,6666.109978645145,14820429.010022823
nanyang,3215025.1219627243,278529.404130434,11101386.250341585,5196562.882776383,1213592.4037111767,206111.7590565211,10345.377867701834,9549.579570186308,21231102.77941671
jinan,5463626.254593681,473333.9576999476,18865739.171183627,8831059.267944738,2062383.672835486,350267.1286979612,17580.975571712337,16228.592835426774,36080219.02136258
linyi,4432931.0045646755,384041.0523756526,15306779.087543868,7165108.777180032,1673321.7282082008,284190.3787579829,14264.381945381381,13167.121795736659,29273803.53237153
nanchang,5726658.618946005,496121.41500769835,19773982.11244969,9256208.114286486,2161671.8796763998,367129.8471056968,18427.366843143085,17009.87708597823,37817209.2314011
handan,3677615.9914238257,318605.34579166805,12698698.782267913,5944265.45148455,1388209.0066636964,235767.95588583438,11833.912843690527,10923.611855714333,24285920.058216892
hefei,4033875.3266226654,349469.3971083992,13928851.684749056,6520100.466050992,1522688.0874008825,258607.35386021546,12980.291892597688,11981.807900859403,26638554.415585667
zhoukou,1444206.3295183706,125116.88498302716,4986801.558609225,2334323.5969690504,545152.1417117614,92586.4948874401,4647.1985850838655,4289.721770846645,9537123.927034805
shenzhen,1452126.4409050702,125803.03324672637,5014149.467976665,2347125.1631460665,548141.7877178793,93094.24460257753,4672.684092021265,4313.246854173476,9589426.06854118
lanzhou,6975388.107923684,604303.4251914083,24085807.9469147,11274575.332856845,2633036.352619707,447184.5346416421,22445.555792823732,20718.97457799114,46063460.2305188
taiyuan,3020211.258699843,261651.96548142203,10428699.76704525,4881678.098839102,1140054.9924547675,193622.45445625228,9718.501575024246,8970.924530791614,19944607.963082455
tangshan,7473991.448974886,647499.259193369,25807470.473564275,12080486.178664852,2821246.7721996787,479149.45180309296,24049.972484325128,22199.974600915502,49356093.53148539
guangzhou,3904942.131015105,338299.44204338785,13483649.19001503,6311701.018695208,1474018.9974747614,250341.58711210702,12565.407847325836,11598.838012916156,25787116.612215843
shijiazhuang,5039252.354638543,436568.8921097747,17400388.69980388,8145128.187076654,1902193.0299068757,323060.9801612333,16215.415992648776,14968.076300906561,33277775.63599051
wuhan,6802709.850412069,589343.6751594614,23489555.05278425,10995469.139403665,2567854.5846233675,436114.31961800146,21889.90793449428,20206.068862610104,44923142.59879792
kunming,5558826.20454317,481581.4781163637,19194461.770637926,8984934.434571013,2098319.297507013,356370.2938061091,17887.31204432208,16511.36496398961,36708892.1561899
xiamen,685430.5851465762,59381.362574579616,2366771.451186816,1107886.5646057283,258733.07978923977,43942.20830518892,2205.5934670558145,2035.932431128444,4526386.777506314
baoding,4248166.988540592,368034.2688092097,14668794.42825279,6866467.929497542,1603577.8855258422,272345.3589188152,13669.844270056365,12618.317787744334,28053675.021602593
weifang,4117649.734831259,356727.08098785667,14218122.227944572,6655508.11100201,1554310.8528756609,263978.03993101395,13249.863008120388,12230.642776726512,27191776.55335722
